"correlationLowerBound","correlationUpperBound","correlation","correlationPear","distance","upToAirQuality","valueToUse","samples","latitudeStart"
0.0528392169162221,0.191241596953542,0.120549785532731,0.0470031000292903,6000,50,"aqi",783,40.22787247
0.0527218925674626,0.139398986899961,0.0961007316333737,0.0232844656125715,10000,16,"pm2_5",2206,38.02080697
0.0514474462546693,0.134194639984092,0.0932223884190839,0.0304550222896243,10000,58,"aqi",2186,38.02080697
0.0514363524077594,0.108723910417513,0.0786039920079377,0.0255880447544089,14000,24,"pm2_5",4423,36.6163024
0.0513634927132845,0.136787550515624,0.0961953280442158,0.0233129397875407,10000,18,"pm2_5",2233,38.02080697
0.0509559623117047,0.108097533469828,0.0795708458571343,0.0239285977561519,14000,26,"pm2_5",4428,36.6163024
0.0508756946208626,0.108631867910906,0.079557800863103,0.0227128272899697,14000,28,"pm2_5",4431,36.6163024
0.0506872279757626,0.110549239592486,0.0802238530897697,0.0270111037083365,14000,30,"pm2_5",4434,36.6163024
0.0502129528617866,0.108342539596089,0.0786253750274757,0.0252652940640163,14000,60,"aqi",4309,36.6163024
0.0501418546602797,0.108839864091685,0.0794424310175507,0.0258134942506628,14000,34,"pm2_5",4436,36.6163024
0.0501125296564824,0.109081597568908,0.0794830992942181,0.0247942377444062,14000,50,"pm2_5",4437,36.6163024
0.0499644191674394,0.190862739868231,0.118389448712964,0.0441334281472532,6000,12,"pm2_5",785,40.22787247
0.0492480786882564,0.10693167730648,0.0781955587444659,0.0282783539299765,14000,22,"pm2_5",4414,36.6163024
0.0488483878879962,0.103502912125107,0.0754750946802663,0.0222941839614735,16000,30,"pm2_5",5036,36.6163024
0.0475906961296537,0.101509214165232,0.0742742752514649,0.0200095126395535,16000,26,"pm2_5",5028,36.6163024
0.0474680935890117,0.101882910170695,0.0747744830114337,0.0212940448660906,16000,34,"pm2_5",5038,36.6163024
0.0472502786551249,0.106489985696066,0.0767461440045755,0.0241351465506936,14000,20,"pm2_5",4388,36.6163024
0.0471558832093858,0.101109108521036,0.0744245467155891,0.0207173011748299,16000,38,"pm2_5",5039,36.6163024
0.0470461474657053,0.16389588285573,0.10542134052737,0.0554344242899047,8000,14,"pm2_5",1148,40.22787247
